#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.006066,3,1,0,2376
0.001144,4,1,0,2420
0.840619,5,1,0,2720
0.448406,6,1,0,2973
0.441950,7,1,0,3350
1.881271,8,1,0,3950
4.142194,9,1,0,4187
3.188624,10,1,0,4343
5.264207,4,7,0,3161
7.086465,5,7,0,3588
1.501819,5,8,0,3567
1.441259,13,2,0,6073
2.795221,12,3,0,6736
4.895457,10,6,0,6617
5.567892,9,8,0,6629
4.426028,7,11,0,5821
7.993680,7,12,0,5555
5.506008,10,10,0,6819
6.585266,8,13,0,5075
19.880459,7,16,0,3883
9.212696,9,15,0,4522
0.000000,8,17,0,3620
7.845958,7,19,0,3118
4.983410,7,20,0,3196
12.959527,10,18,0,4998
11.483595,9,20,0,4358
21.231835,12,18,0,5815
13.834597,15,16,0,8621
6.443192,10,22,0,6363
11.296730,11,22,0,8534
16.238529,4,30,0,3673
18.712257,10,25,0,8811
11.107520,10,26,0,8447
9.943182,10,27,0,7545
10.183031,9,29,0,6314
14.287849,11,28,0,7032
4.531399,9,32,0,6284
16.268438,8,34,0,5703
23.583799,8,35,0,4594
0.000000,6,38,0,3359
18.059918,6,38,0,3177
8.795360,7,39,0,3535
12.902519,11,36,0,7669
8.306269,9,39,0,5248
8.648558,24,26,0,15433
15.359590,10,40,0,10976
15.379821,4,46,0,4800
20.505552,14,38,0,12863
22.104508,7,46,0,7440
13.034352,11,43,0,10089
8.185544,25,31,0,16146
25.323879,9,47,0,7996
7.498411,10,46,0,8497
23.390549,23,36,0,15169
26.923883,10,48,0,8007
6.528479,26,34,0,17708
13.010444,9,-559395328,1617,18416820
18.946020,8,21862,1675,1080112149
8.083443,7,-564100400,1734,-936234151
21.844101,6,21862,1794,1080379869
