#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
10.911127,0.094246,0.734996,0.006066,0.006066,11.755476
8.623262,0.229598,3.614120,0.001144,0.001144,12.470436
16.287167,0.737907,5.029359,0.840619,0.840619,90.535904
12.189868,0.781401,3.538913,0.448406,0.448406,54.999671
13.326414,3.207144,16.807539,0.441950,0.441950,76.279589
8.804161,0.978196,5.281880,1.881271,1.881271,79.466607
7.929434,1.098086,17.249813,4.142194,4.142194,107.708356
19.849926,2.057032,9.309569,3.188624,3.188624,119.028654
15.703213,1.153737,7.875779,5.264207,5.264207,103.177173
7.208580,0.898723,15.351386,7.086465,7.086465,123.335338
10.916159,0.884417,8.647246,1.501819,1.501819,97.782121
7.869149,0.762379,14.849112,1.441259,1.441259,52.954890
21.167425,4.835799,32.927163,2.795221,2.795221,163.968502
21.331979,1.046419,37.717339,4.895457,4.895457,198.947631
10.147560,2.477206,28.161024,5.567892,5.567892,234.717858
13.935923,2.438089,27.543882,4.426028,4.426028,232.232394
18.104157,2.907819,32.869733,7.993680,7.993680,206.890457
18.557348,3.771016,41.968695,5.506008,5.506008,195.192033
8.395910,1.363545,55.880374,6.585266,6.585266,205.584826
9.625260,2.007282,38.200556,19.880459,19.880459,93.877541
10.249186,4.060061,30.697975,9.212696,9.212696,180.629791
14.819149,1.910661,31.139522,0.000000,0.000000,47.870642
12.616753,0.822336,21.701453,7.845958,7.845958,124.628250
7.583917,2.792458,37.192430,4.983410,4.983410,113.493215
9.010344,2.728826,39.742878,12.959527,12.959527,125.641928
7.859828,0.920071,47.560929,11.483595,11.483595,127.395367
5.796727,0.645272,31.014793,21.231835,21.231835,98.458444
9.434538,0.712649,33.904388,13.834597,13.834597,157.222025
15.126823,2.869163,39.375176,6.443192,6.443192,70.911448
17.184389,3.482062,38.971849,11.296730,11.296730,186.238364
18.084299,1.093867,42.626807,16.238529,16.238529,214.654920
9.031208,0.859175,42.631723,18.712257,18.712257,208.865796
21.684615,1.381093,45.684338,11.107520,11.107520,250.174413
17.103996,0.729326,37.194035,9.943182,9.943182,110.859053
7.226387,1.171045,63.833745,10.183031,10.183031,189.102818
10.629769,1.949363,54.620616,14.287849,14.287849,193.229288
16.925525,1.209688,33.411950,4.531399,4.531399,171.378154
21.053915,1.684425,31.119920,16.268438,16.268438,181.347729
6.946457,0.999589,45.576554,23.583799,23.583799,185.035410
15.808921,1.276896,0.704853,0.000000,0.000000,17.792789
3.530775,1.110153,22.438717,18.059918,18.059918,153.276443
4.073808,0.771352,37.066153,8.795360,8.795360,164.112495
7.020754,0.739163,25.397171,12.902519,12.902519,104.095747
4.401755,0.491493,15.833483,8.306269,8.306269,78.678237
3.020147,0.531776,27.602370,8.648558,8.648558,76.990347
10.757537,0.637020,38.651014,15.359590,15.359590,122.550460
6.379520,0.604786,50.397149,15.379821,15.379821,151.129201
11.725551,0.537056,30.848804,20.505552,20.505552,140.078040
8.715621,1.443585,63.137026,22.104508,22.104508,466.775863
7.028945,0.691737,35.636905,13.034352,13.034352,186.580487
4.951020,0.791345,41.370141,8.185544,8.185544,115.523042
10.964348,1.220988,39.066614,25.323879,25.323879,214.444300
5.554598,1.338028,42.788230,7.498411,7.498411,124.433601
6.616117,1.191423,47.723542,23.390549,23.390549,174.202985
6.010225,1.156794,41.948564,26.923883,26.923883,246.333455
6.727201,0.664257,34.329458,6.528479,6.528479,117.609821
4.213281,0.657123,25.546471,13.010444,13.010444,113.441042
10.180719,2.893832,35.691074,18.946020,18.946020,236.557555
5.075413,5.696962,29.033708,8.083443,8.083443,119.424393
7.687186,1.321380,31.003526,21.844101,21.844101,251.173376
